Video link,CName,Final Link
https://app.repliq.co/videos/rEf265b2f93,PVL Power Washing,https://video.introscale.com/rEf265b2f93
https://app.repliq.co/videos/rEda3a18293,Big Joe's Power Washing LLC,https://video.introscale.com/rEda3a18293
https://app.repliq.co/videos/rE1378e2393,Prolific PowerWash,https://video.introscale.com/rE1378e2393
https://app.repliq.co/videos/rEa702fec93,HD Window Cleaning,https://video.introscale.com/rEa702fec93
https://app.repliq.co/videos/rE49d291393,Genie Pressure Washing,https://video.introscale.com/rE49d291393
https://app.repliq.co/videos/rE75c408993,Central Missouri Power Wash,https://video.introscale.com/rE75c408993
https://app.repliq.co/videos/rE130f74993,Still Washin' LLC,https://video.introscale.com/rE130f74993
https://app.repliq.co/videos/rEf1b90e893,S & R Window and Gutter Cleaning LLC,https://video.introscale.com/rEf1b90e893
https://app.repliq.co/videos/rEb26244493,Wash Right Kc,https://video.introscale.com/rEb26244493
https://app.repliq.co/videos/rE77aad8493,ASAP Window & Gutter Cleaning,https://video.introscale.com/rE77aad8493
https://app.repliq.co/videos/rEb321d3293,4 Brother's Power Washing,https://video.introscale.com/rEb321d3293
https://app.repliq.co/videos/rE3b3e7e793,Just Clean Pressure Washing,
